NAME,VPM,KOB,DPPV,DTS,BR,TP,TR,PB,PPD,AR,SEM,TFPM,DA,TARGET
YahooNews,175000000,2.8,4.34,4.6,39.2,8.3,0.228021978,1,25,11,395,1.1,95,0
HuffingtonPost,110000000,1.2,1.5,2.26,48.1,20.8,0.5,2,29,11655,4500,11.4,93,1
CNN,95000000,1.1,2.28,4.23,52.3,29.1,0.659863946,1,30,72,417,47.2,95,0
NewYorkTimes,70000000,1.7,2.5,3.15,60.6,41.9,0.945823928,1,28,77,555,44.7,95,0
FoxNews,65000000,0.55,2.59,5.21,46.3,22.2,0.5,2,30,227,15,18.5,95,1
NBCNews,63000000,0.46,1.37,2.26,74.3,46.6,1.290858726,1,30,507,1000,7.5,92,1
MailOnline,53000000,0.71,2.04,4.35,59.1,32,0.631163708,2,30,271,16,16.4,94,1
TheGuardian,42000000,1.4,2.64,2.683,62.7,52.7,1.203196347,1,30,119,50,8.2,95,0
 ABCNews,36000000,0.482,1.39,2.33,70.8,45.2,1.231607629,1,25,1047,1230,0.05,93,0
TimesOfIndia,212000000,0.063,1.4,2.05,64.1,46.2,0.540350877,0.5,26,18024,467,12.7,93,1
NDTVNews,50000000,0.61,2.36,3.98,56.5,43.3,0.714521452,1,30,358,11,12.6,92,1
IndiaToday,17000000,0.3,1.59,2.38,74.6,78.2,1.486692015,0,30,567,70,5.3,89,2
IndianExpress,18000000,0.319,2.34,3.53,62.1,41.3,0.6453125,0,30,1100,7,3.5,91,2
TheHindu,65000000,0.253,1.91,2.75,65.8,64.4,1.047154472,0.5,30,977,1,6,91,2
